"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1","0.0050","5780.5410",,,"3.5200","60.8175","17653.9527","0.0004"
"2","0.0150","7928.5680",,,"3.5200","71.2265","5884.6509","0.0011"
"3","0.0250","10139.9417",,,"3.5200","80.5493","3530.7906","0.0018"
"4","0.0350","12241.2586",,,"3.5200","88.5028","2521.9933","0.0025"
"5","0.0450","14733.5330",,,"3.5200","97.0952","1961.5503","0.0032"
"6","0.0550","17451.6798",,,"3.5200","105.6727","1604.9048","0.0039"
"7","0.0650","20372.0239",,,"3.5200","114.1724","1357.9964","0.0046"
"8","0.0750","24288.6380",,,"3.5200","124.6654","1176.9303","0.0053"
"9","0.0850","30498.5285",,,"3.5200","139.6959","1038.4679","0.0061"
"10","0.0950","38851.3270",,,"3.5200","157.6693","929.1555","0.0068"
"11","0.1050","48644.4619",,,"3.5200","176.4253","840.6645","0.0075"
"12","0.1150","61189.0165",,,"3.5200","197.8704","767.5633","0.0082"
"13","0.1250","76910.5011",,,"3.5200","221.8386","706.1582","0.0089"
"14","0.1350","93123.4021",,,"3.5200","244.1033","653.8502","0.0096"
"15","0.1450","110354.9683",,,"3.5200","265.7297","608.7572","0.0103"
"16","0.1550","129953.3954",,,"3.5200","288.3620","569.4825","0.0110"
"17","0.1650","151674.2549",,,"3.5200","311.5302","534.9684","0.0117"
"18","0.1750","170664.8102",,,"3.5200","330.4579","504.3988","0.0125"
"19","0.1850","190736.7374",,,"3.5200","349.3505","477.1341","0.0132"
"20","0.1950","214839.1747",,,"3.5200","370.7669","452.6657","0.0139"
"21","0.2050","236827.4978",,,"3.5200","389.2784","430.5844","0.0146"
"22","0.2150","256859.1136",,,"3.5200","405.4074","410.5573","0.0153"
"23","0.2250","278682.9913",,,"3.5200","422.2789","392.3103","0.0160"
"24","0.2350","301533.2127",,,"3.5200","439.2500","375.6163","0.0167"
"25","0.2450","319352.8149",,,"3.5200","452.0428","360.2850","0.0174"
"26","0.2550","334515.0575",,,"3.5200","462.6494","346.1562","0.0182"
"27","0.2650","348928.6579",,,"3.5200","472.5116","333.0937","0.0189"
