"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1","0.0400","2377458.0000",,,"3.5200","1541.9008","2206.7441","0.0028"
"2","0.1200","1356169.0000",,,"3.5200","1164.5467","735.5815","0.0085"
"3","0.2000","611593.0000",,,"3.5200","782.0441","441.3490","0.0142"
"4","0.2800","257382.0000",,,"3.5200","507.3283","315.2495","0.0199"
"5","0.3600","144893.0000",,,"3.5200","380.6481","245.1942","0.0256"
"6","0.4400","107917.0000",,,"3.5200","328.5072","200.6136","0.0313"
"7","0.5200","82742.0000",,,"3.5200","287.6491","169.7501","0.0370"
"8","0.6000","68965.0000",,,"3.5200","262.6119","147.1169","0.0427"
"9","0.6800","60368.0000",,,"3.5200","245.6990","129.8092","0.0484"
"10","0.7600","56364.0000",,,"3.5200","237.4110","116.1453","0.0541"
"11","0.8400","55141.0000",,,"3.5200","234.8212","105.0840","0.0598"
"12","0.9200","53594.0000",,,"3.5200","231.5038","95.9464","0.0655"
"13","1.0000","55414.0000",,,"3.5200","235.4018","88.2709","0.0712"
"14","1.0800","54270.0000",,,"3.5200","232.9592","81.7325","0.0769"
"15","1.1600","53930.0000",,,"3.5200","232.2283","76.0959","0.0826"
"16","1.2400","54619.0000",,,"3.5200","233.7071","71.1867","0.0883"
"17","1.3200","56965.0000",,,"3.5200","238.6734","66.8725","0.0940"
"18","1.4000","58223.0000",,,"3.5200","241.2944","63.0514","0.0997"
"19","1.4800","59045.0000",,,"3.5200","242.9918","59.6434","0.1053"
"20","1.5600","58670.0000",,,"3.5200","242.2189","56.5849","0.1110"
"21","1.6400","57714.0000",,,"3.5200","240.2374","53.8249","0.1167"
"22","1.7200","58050.0000",,,"3.5200","240.9357","51.3216","0.1224"
"23","1.8000","57698.0000",,,"3.5200","240.2041","49.0408","0.1281"
"24","1.8800","55497.0000",,,"3.5200","235.5780","46.9541","0.1338"
"25","1.9600","55650.0000",,,"3.5200","235.9025","45.0378","0.1395"
"26","2.0400","55100.0000",,,"3.5200","234.7339","43.2718","0.1452"
"27","2.1200","51407.0000",,,"3.5200","226.7311","41.6391","0.1509"
"28","2.2000","40589.0000",,,"3.5200","201.4671","40.1251","0.1566"
"29","2.2800","28744.0000",,,"3.5200","169.5406","38.7174","0.1623"
"30","2.3600","23334.0000",,,"3.5200","152.7547","37.4051","0.1680"
"31","2.4400","17279.0000",,,"3.5200","131.4496","36.1789","0.1737"
"32","2.5200","12487.0000",,,"3.5200","111.7452","35.0305","0.1794"
"33","2.6000","11386.0000",,,"3.5200","106.7052","33.9528","0.1851"
"34","2.6800","10131.0000",,,"3.5200","100.6529","32.9395","0.1907"
"35","2.7600","8893.0000",,,"3.5200","94.3027","31.9849","0.1964"
"36","2.8400","8420.0000",,,"3.5200","91.7606","31.0841","0.2021"
"37","2.9200","8197.0000",,,"3.5200","90.5373","30.2326","0.2078"
"38","3.0000","7969.0000",,,"3.5200","89.2693","29.4266","0.2135"
"39","3.0800","7700.0000",,,"3.5200","87.7496","28.6625","0.2192"
"40","3.1600","7712.0000",,,"3.5200","87.8180","27.9370","0.2249"
"41","3.2400","7517.0000",,,"3.5200","86.7006","27.2474","0.2306"
"42","3.3200","7373.0000",,,"3.5200","85.8662","26.5910","0.2363"
"43","3.4000","7130.0000",,,"3.5200","84.4393","25.9655","0.2420"
"44","3.4800","7119.0000",,,"3.5200","84.3742","25.3688","0.2477"
"45","3.5600","7254.0000",,,"3.5200","85.1704","24.7989","0.2534"
"46","3.6400","7194.0000",,,"3.5200","84.8175","24.2540","0.2591"
"47","3.7200","7156.0000",,,"3.5200","84.5931","23.7326","0.2647"
"48","3.8000","7263.0000",,,"3.5200","85.2232","23.2331","0.2704"
"49","3.8800","7278.0000",,,"3.5200","85.3112","22.7543","0.2761"
"50","3.9600","7215.0000",,,"3.5200","84.9412","22.2948","0.2818"
"51","4.0400","7212.0000",,,"3.5200","84.9235","21.8535","0.2875"
"52","4.1200","6991.0000",,,"3.5200","83.6122","21.4293","0.2932"
"53","4.2000","6522.0000",,,"3.5200","80.7589","21.0213","0.2989"
"54","4.2800","5988.0000",,,"3.5200","77.3822","20.6286","0.3046"
"55","4.3600","5477.0000",,,"3.5200","74.0068","20.2502","0.3103"
"56","4.4400","5427.0000",,,"3.5200","73.6682","19.8856","0.3160"
"57","4.5200","5487.0000",,,"3.5200","74.0743","19.5338","0.3217"
"58","4.6000","5143.0000",,,"3.5200","71.7147","19.1942","0.3273"
"59","4.6800","4723.0000",,,"3.5200","68.7241","18.8663","0.3330"
"60","4.7600","4440.0000",,,"3.5200","66.6333","18.5494","0.3387"
"61","4.8400","3849.0000",,,"3.5200","62.0403","18.2430","0.3444"
"62","4.9200","3665.0000",,,"3.5200","60.5392","17.9465","0.3501"
"63","5.0000","3296.0000",,,"3.5200","57.4108","17.6596","0.3558"
"64","5.0800","2356.0000",,,"3.5200","48.5386","17.3816","0.3615"
"65","5.1600","1947.0000",,,"3.5200","44.1248","17.1123","0.3672"
"66","5.2400","1187.0000",,,"3.5200","34.4529","16.8512","0.3729"
"67","5.3200","827.0000",,,"3.5200","28.7576","16.5980","0.3786"
"68","5.4000","374.0000",,,"3.5200","19.3391","16.3523","0.3842"
"69","5.4800","216.0000",,,"3.5200","14.6969","16.1138","0.3899"
"70","5.5600","226.0000",,,"3.5200","15.0333","15.8821","0.3956"
"71","5.6400","210.0000",,,"3.5200","14.4914","15.6570","0.4013"
"72","5.7200","223.0000",,,"3.5200","14.9332","15.4382","0.4070"
"73","5.8000","217.0000",,,"3.5200","14.7309","15.2254","0.4127"
"74","5.8800","207.0000",,,"3.5200","14.3875","15.0185","0.4184"
"75","5.9600","221.0000",,,"3.5200","14.8661","14.8170","0.4241"
"76","6.0400","215.0000",,,"3.5200","14.6629","14.6210","0.4297"
"77","6.1200","201.0000",,,"3.5200","14.1774","14.4300","0.4354"
"78","6.2000","217.0000",,,"3.5200","14.7309","14.2440","0.4411"
"79","6.2800","204.0000",,,"3.5200","14.2829","14.0627","0.4468"
"80","6.3600","188.0000",,,"3.5200","13.7113","13.8860","0.4525"
"81","6.4400","198.0000",,,"3.5200","14.0712","13.7137","0.4582"
"82","6.5200","180.0000",,,"3.5200","13.4164","13.5456","0.4639"
"83","6.6000","171.0000",,,"3.5200","13.0767","13.3816","0.4695"
"84","6.6800","204.0000",,,"3.5200","14.2829","13.2215","0.4752"
"85","6.7600","208.0000",,,"3.5200","14.4222","13.0652","0.4809"
"86","6.8400","202.0000",,,"3.5200","14.2127","12.9126","0.4866"
"87","6.9200","192.0000",,,"3.5200","13.8564","12.7635","0.4923"
"88","7.0000","196.0000",,,"3.5200","14.0000","12.6178","0.4980"
"89","7.0800","223.0000",,,"3.5200","14.9332","12.4754","0.5036"
"90","7.1600","189.0000",,,"3.5200","13.7477","12.3362","0.5093"
"91","7.2400","151.0000",,,"3.5200","12.2882","12.2001","0.5150"
"92","7.3200","188.0000",,,"3.5200","13.7113","12.0669","0.5207"
"93","7.4000","167.0000",,,"3.5200","12.9228","11.9366","0.5264"
"94","7.4800","173.0000",,,"3.5200","13.1529","11.8092","0.5321"
"95","7.5600","180.0000",,,"3.5200","13.4164","11.6844","0.5377"
"96","7.6400","170.0000",,,"3.5200","13.0384","11.5622","0.5434"
"97","7.7200","177.0000",,,"3.5200","13.3041","11.4426","0.5491"
"98","7.8000","154.0000",,,"3.5200","12.4097","11.3254","0.5548"
"99","7.8800","169.0000",,,"3.5200","13.0000","11.2106","0.5605"
"100","7.9600","177.0000",,,"3.5200","13.3041","11.0981","0.5662"
"101","8.0400","147.0000",,,"3.5200","12.1244","10.9878","0.5718"
"102","8.1200","161.0000",,,"3.5200","12.6886","10.8798","0.5775"
"103","8.2000","199.0000",,,"3.5200","14.1067","10.7738","0.5832"
"104","8.2800","143.0000",,,"3.5200","11.9583","10.6699","0.5889"
"105","8.3600","145.0000",,,"3.5200","12.0416","10.5680","0.5946"
"106","8.4400","166.0000",,,"3.5200","12.8841","10.4680","0.6002"
