"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1","1.0400","616263.0000",,,"3.5200","785.0242","84.8759","0.0740"
"2","1.1200","734679.0000",,,"3.5200","857.1342","78.8135","0.0797"
"3","1.2000","819929.0000",,,"3.5200","905.4993","73.5595","0.0854"
"4","1.2800","860688.0000",,,"3.5200","927.7327","68.9622","0.0911"
"5","1.3600","881784.0000",,,"3.5200","939.0335","64.9058","0.0968"
"6","1.4400","898928.0000",,,"3.5200","948.1181","61.3001","0.1025"
"7","1.5200","909086.0000",,,"3.5200","953.4600","58.0739","0.1082"
"8","1.6000","917857.0000",,,"3.5200","958.0485","55.1704","0.1139"
"9","1.6800","916191.0000",,,"3.5200","957.1787","52.5434","0.1196"
"10","1.7600","898435.0000",,,"3.5200","947.8581","50.1552","0.1253"
"11","1.8400","865502.0000",,,"3.5200","930.3236","47.9748","0.1310"
"12","1.9200","817027.0000",,,"3.5200","903.8955","45.9760","0.1367"
"13","2.0000","753888.0000",,,"3.5200","868.2672","44.1371","0.1424"
"14","2.0800","685458.0000",,,"3.5200","827.9239","42.4397","0.1480"
"15","2.1600","615459.0000",,,"3.5200","784.5120","40.8681","0.1537"
"16","2.2400","546449.0000",,,"3.5200","739.2219","39.4087","0.1594"
"17","2.3200","479175.0000",,,"3.5200","692.2247","38.0499","0.1651"
"18","2.4000","408893.0000",,,"3.5200","639.4474","36.7818","0.1708"
"19","2.4800","337630.0000",,,"3.5200","581.0594","35.5954","0.1765"
"20","2.5600","274312.0000",,,"3.5200","523.7480","34.4832","0.1822"
"21","2.6400","224574.0000",,,"3.5200","473.8924","33.4385","0.1879"
"22","2.7200","185949.0000",,,"3.5200","431.2180","32.4552","0.1936"
"23","2.8000","161168.0000",,,"3.5200","401.4573","31.5281","0.1993"
"24","2.8800","149928.0000",,,"3.5200","387.2054","30.6525","0.2050"
"25","2.9600","143949.0000",,,"3.5200","379.4061","29.8242","0.2107"
"26","3.0400","138529.0000",,,"3.5200","372.1948","29.0395","0.2164"
"27","3.1200","133784.0000",,,"3.5200","365.7650","28.2951","0.2221"
"28","3.2000","130098.0000",,,"3.5200","360.6910","27.5879","0.2278"
"29","3.2800","127263.0000",,,"3.5200","356.7394","26.9152","0.2334"
"30","3.3600","125658.0000",,,"3.5200","354.4827","26.2745","0.2391"
"31","3.4400","124806.0000",,,"3.5200","353.2789","25.6637","0.2448"
"32","3.5200","124548.0000",,,"3.5200","352.9136","25.0806","0.2505"
"33","3.6000","123849.0000",,,"3.5200","351.9219","24.5234","0.2562"
"34","3.6800","123378.0000",,,"3.5200","351.2520","23.9905","0.2619"
"35","3.7600","123812.0000",,,"3.5200","351.8693","23.4802","0.2676"
