"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1094","65.6100","42.0000",,,"3.5200","6.4807","1.4218","4.4192"
"1095","65.6700","47.0000",,,"3.5200","6.8557","1.4206","4.4228"
"1096","65.7300","52.0000",,,"3.5200","7.2111","1.4195","4.4264"
"1097","65.7900","57.0000",,,"3.5200","7.5498","1.4183","4.4300"
"1098","65.8500","45.0000",,,"3.5200","6.7082","1.4172","4.4336"
"1099","65.9100","49.0000",,,"3.5200","7.0000","1.4160","4.4371"
"1100","65.9700","38.0000",,,"3.5200","6.1644","1.4149","4.4407"
"1101","66.0300","47.0000",,,"3.5200","6.8557","1.4138","4.4443"
"1102","66.0900","43.0000",,,"3.5200","6.5574","1.4126","4.4479"
"1103","66.1500","37.0000",,,"3.5200","6.0828","1.4115","4.4515"
"1104","66.2100","45.0000",,,"3.5200","6.7082","1.4104","4.4550"
"1105","66.2700","51.0000",,,"3.5200","7.1414","1.4092","4.4586"
"1106","66.3300","56.0000",,,"3.5200","7.4833","1.4081","4.4622"
"1107","66.3900","48.0000",,,"3.5200","6.9282","1.4070","4.4658"
"1108","66.4500","38.0000",,,"3.5200","6.1644","1.4058","4.4693"
"1109","66.5100","41.0000",,,"3.5200","6.4031","1.4047","4.4729"
"1110","66.5700","53.0000",,,"3.5200","7.2801","1.4036","4.4765"
"1111","66.6300","38.0000",,,"3.5200","6.1644","1.4025","4.4801"
"1112","66.6900","56.0000",,,"3.5200","7.4833","1.4014","4.4836"
"1113","66.7500","37.0000",,,"3.5200","6.0828","1.4002","4.4872"
"1114","66.8100","48.0000",,,"3.5200","6.9282","1.3991","4.4908"
"1115","66.8700","41.0000",,,"3.5200","6.4031","1.3980","4.4943"
"1116","66.9300","53.0000",,,"3.5200","7.2801","1.3969","4.4979"
"1117","66.9900","56.0000",,,"3.5200","7.4833","1.3958","4.5015"
"1118","67.0500","45.0000",,,"3.5200","6.7082","1.3947","4.5050"
"1119","67.1100","34.0000",,,"3.5200","5.8310","1.3936","4.5086"
"1120","67.1700","45.0000",,,"3.5200","6.7082","1.3925","4.5121"
"1121","67.2300","43.0000",,,"3.5200","6.5574","1.3914","4.5157"
"1122","67.2900","34.0000",,,"3.5200","5.8310","1.3903","4.5192"
"1123","67.3500","37.0000",,,"3.5200","6.0828","1.3892","4.5228"
"1124","67.4100","47.0000",,,"3.5200","6.8557","1.3881","4.5264"
"1125","67.4700","41.0000",,,"3.5200","6.4031","1.3870","4.5299"
"1126","67.5300","41.0000",,,"3.5200","6.4031","1.3860","4.5335"
"1127","67.5900","37.0000",,,"3.5200","6.0828","1.3849","4.5370"
"1128","67.6500","59.0000",,,"3.5200","7.6811","1.3838","4.5406"
"1129","67.7100","49.0000",,,"3.5200","7.0000","1.3827","4.5441"
"1130","67.7700","49.0000",,,"3.5200","7.0000","1.3816","4.5477"
"1131","67.8300","45.0000",,,"3.5200","6.7082","1.3806","4.5512"
"1132","67.8900","47.0000",,,"3.5200","6.8557","1.3795","4.5547"
"1133","67.9500","38.0000",,,"3.5200","6.1644","1.3784","4.5583"
"1134","68.0100","51.0000",,,"3.5200","7.1414","1.3773","4.5618"
"1135","68.0700","40.0000",,,"3.5200","6.3246","1.3763","4.5654"
"1136","68.1300","57.0000",,,"3.5200","7.5498","1.3752","4.5689"
