"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1","2.0300","909980.0000",,,"4.4000","953.9287","43.4849","0.1445"
"2","2.0900","843410.0000",,,"4.4000","918.3736","42.2367","0.1488"
"3","2.1500","779074.0000",,,"4.4000","882.6517","41.0581","0.1530"
"4","2.2100","713090.0000",,,"4.4000","844.4466","39.9435","0.1573"
"5","2.2700","651474.0000",,,"4.4000","807.1394","38.8879","0.1616"
"6","2.3300","587136.0000",,,"4.4000","766.2480","37.8866","0.1658"
"7","2.3900","521969.0000",,,"4.4000","722.4742","36.9356","0.1701"
"8","2.4500","454415.0000",,,"4.4000","674.1031","36.0312","0.1744"
"9","2.5100","388353.0000",,,"4.4000","623.1797","35.1700","0.1787"
"10","2.5700","332799.0000",,,"4.4000","576.8873","34.3491","0.1829"
"11","2.6300","287427.0000",,,"4.4000","536.1222","33.5656","0.1872"
"12","2.6900","247855.0000",,,"4.4000","497.8504","32.8171","0.1915"
"13","2.7500","218501.0000",,,"4.4000","467.4409","32.1012","0.1957"
"14","2.8100","198535.0000",,,"4.4000","445.5727","31.4159","0.2000"
"15","2.8700","187951.0000",,,"4.4000","433.5332","30.7592","0.2043"
"16","2.9300","181056.0000",,,"4.4000","425.5068","30.1295","0.2085"
"17","2.9900","176363.0000",,,"4.4000","419.9560","29.5250","0.2128"
"18","3.0500","171262.0000",,,"4.4000","413.8381","28.9443","0.2171"
"19","3.1100","166374.0000",,,"4.4000","407.8897","28.3860","0.2213"
"20","3.1700","162310.0000",,,"4.4000","402.8772","27.8489","0.2256"
"21","3.2300","160445.0000",,,"4.4000","400.5559","27.3317","0.2299"
"22","3.2900","158456.0000",,,"4.4000","398.0653","26.8334","0.2342"
"23","3.3500","156686.0000",,,"4.4000","395.8358","26.3529","0.2384"
"24","3.4100","154983.0000",,,"4.4000","393.6788","25.8894","0.2427"
"25","3.4700","154273.0000",,,"4.4000","392.7760","25.4419","0.2470"
"26","3.5300","155254.0000",,,"4.4000","394.0228","25.0096","0.2512"
"27","3.5900","154248.0000",,,"4.4000","392.7442","24.5917","0.2555"
"28","3.6500","154177.0000",,,"4.4000","392.6538","24.1876","0.2598"
"29","3.7100","154260.0000",,,"4.4000","392.7595","23.7965","0.2640"
"30","3.7700","154927.0000",,,"4.4000","393.6077","23.4180","0.2683"
"31","3.8300","154448.0000",,,"4.4000","392.9987","23.0512","0.2726"
"32","3.8900","152863.0000",,,"4.4000","390.9770","22.6958","0.2768"
