"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1","3.0400","136700.0000",,,"3.5200","369.7296","29.0395","0.2164"
"2","3.1200","132104.0000",,,"3.5200","363.4611","28.2951","0.2221"
"3","3.2000","128651.0000",,,"3.5200","358.6795","27.5879","0.2278"
"4","3.2800","126664.0000",,,"3.5200","355.8989","26.9152","0.2334"
"5","3.3600","124207.0000",,,"3.5200","352.4301","26.2745","0.2391"
"6","3.4400","123667.0000",,,"3.5200","351.6632","25.6637","0.2448"
"7","3.5200","123784.0000",,,"3.5200","351.8295","25.0806","0.2505"
"8","3.6000","123116.0000",,,"3.5200","350.8789","24.5234","0.2562"
"9","3.6800","122301.0000",,,"3.5200","349.7156","23.9905","0.2619"
"10","3.7600","122708.0000",,,"3.5200","350.2970","23.4802","0.2676"
"11","3.8400","122771.0000",,,"3.5200","350.3869","22.9912","0.2733"
"12","3.9200","121663.0000",,,"3.5200","348.8022","22.5222","0.2790"
"13","4.0000","119736.0000",,,"3.5200","346.0289","22.0719","0.2847"
"14","4.0800","116880.0000",,,"3.5200","341.8772","21.6393","0.2904"
"15","4.1600","113597.0000",,,"3.5200","337.0415","21.2234","0.2961"
"16","4.2400","110810.0000",,,"3.5200","332.8814","20.8231","0.3017"
"17","4.3200","107531.0000",,,"3.5200","327.9192","20.4377","0.3074"
"18","4.4000","101932.0000",,,"3.5200","319.2679","20.0662","0.3131"
"19","4.4800","96925.0000",,,"3.5200","311.3278","19.7081","0.3188"
"20","4.5600","91090.0000",,,"3.5200","301.8112","19.3625","0.3245"
"21","4.6400","85309.0000",,,"3.5200","292.0770","19.0289","0.3302"
"22","4.7200","79458.0000",,,"3.5200","281.8830","18.7065","0.3359"
"23","4.8000","73970.0000",,,"3.5200","271.9743","18.3949","0.3416"
"24","4.8800","66268.0000",,,"3.5200","257.4257","18.0935","0.3473"
"25","4.9600","57953.0000",,,"3.5200","240.7343","17.8019","0.3530"
"26","5.0400","49175.0000",,,"3.5200","221.7544","17.5195","0.3586"
"27","5.1200","41133.0000",,,"3.5200","202.8127","17.2459","0.3643"
"28","5.2000","33101.0000",,,"3.5200","181.9368","16.9808","0.3700"
