"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1344","107.4800","129.0000",,,"3.5200","11.3578","0.9553","6.5772"
"1345","107.5600","126.0000",,,"3.5200","11.2250","0.9548","6.5805"
"1346","107.6400","123.0000",,,"3.5200","11.0905","0.9543","6.5839"
"1347","107.7200","123.0000",,,"3.5200","11.0905","0.9538","6.5873"
"1348","107.8000","150.0000",,,"3.5200","12.2474","0.9534","6.5906"
"1349","107.8800","134.0000",,,"3.5200","11.5758","0.9529","6.5940"
"1350","107.9600","133.0000",,,"3.5200","11.5326","0.9524","6.5973"
"1351","108.0400","127.0000",,,"3.5200","11.2694","0.9519","6.6007"
"1352","108.1200","152.0000",,,"3.5200","12.3288","0.9514","6.6040"
"1353","108.2000","148.0000",,,"3.5200","12.1655","0.9509","6.6074"
"1354","108.2800","122.0000",,,"3.5200","11.0454","0.9505","6.6107"
"1355","108.3600","126.0000",,,"3.5200","11.2250","0.9500","6.6140"
"1356","108.4400","141.0000",,,"3.5200","11.8743","0.9495","6.6174"
"1357","108.5200","160.0000",,,"3.5200","12.6491","0.9490","6.6207"
"1358","108.6000","140.0000",,,"3.5200","11.8322","0.9485","6.6240"
"1359","108.6800","154.0000",,,"3.5200","12.4097","0.9481","6.6273"
"1360","108.7600","151.0000",,,"3.5200","12.2882","0.9476","6.6307"
"1361","108.8400","132.0000",,,"3.5200","11.4891","0.9471","6.6340"
"1362","108.9200","152.0000",,,"3.5200","12.3288","0.9467","6.6373"
"1363","109.0000","140.0000",,,"3.5200","11.8322","0.9462","6.6406"
"1364","109.0800","133.0000",,,"3.5200","11.5326","0.9457","6.6439"
"1365","109.1600","137.0000",,,"3.5200","11.7047","0.9452","6.6472"
"1366","109.2400","140.0000",,,"3.5200","11.8322","0.9448","6.6505"
"1367","109.3200","120.0000",,,"3.5200","10.9545","0.9443","6.6538"
"1368","109.4000","147.0000",,,"3.5200","12.1244","0.9438","6.6571"
"1369","109.4800","145.0000",,,"3.5200","12.0416","0.9434","6.6604"
"1370","109.5600","144.0000",,,"3.5200","12.0000","0.9429","6.6637"
"1371","109.6400","143.0000",,,"3.5200","11.9583","0.9424","6.6669"
"1372","109.7200","155.0000",,,"3.5200","12.4499","0.9420","6.6702"
"1373","109.8000","136.0000",,,"3.5200","11.6619","0.9415","6.6735"
