,file_name,omega,amorphous_percentage,crystalline_percentage,effective_depth,amorphous_percentage_intensity,crystalline_percentage_intensity,effective_depth_intensity,corrected_amorphous_percentage,corrected_crystalline_percentage,weight,corrected_amorphous_percentage_intensity,corrected_crystalline_percentage_intensity,weight_intensity,index_of_refraction,index_of_refraction_intensity,attenuation_coefficient,attenuation_coefficient_intensity,corrected_depth,corrected_depth_intensity
0,"MSS p (10-35, 0.005w)_01.csv",0.005,1.086898378026777,-0.0868983780267767,2.66386561843403e-08,1.029060250930747,-0.0290602509307469,2.68381397140513e-08,1.086898378026777,-0.0868983780267767,1.0,1.029060250930747,-0.0290602509307469,1.0,(0.9999930919030838-2.0080988739629516e-07j),(0.9999930564449521-1.9931730014675062e-07j),16379.666805462663,16257.919404761351,0.012267570230621609,0.012359435635690159
1,"MSS p (10-35, 0.05w)_01.csv",0.05,0.9946075582470276,0.0053924417529725,2.695838981512049e-07,0.8983013613125218,0.101698638687478,2.730032528942814e-07,0.9844879798713417,0.01551202012865836,0.09881397356083611,0.8840453796135279,0.11595462038647193,0.09830703271672803,(0.9999930291195607-1.981670553721221e-07j),(0.9999929675424117-1.9557500490328524e-07j),16164.096205129961,15952.66775619755,0.12395640933408857,0.12544569859589305
2,"MSS p (10-35, 0.1w)_01.csv",0.1,0.9495022513413144,0.0504977486586855,5.423490669469372e-07,0.5167665318466701,0.4832334681533299,5.748943464033893e-07,0.9049230093631909,0.09507699063680872,0.497067137348981,0.17174062092657869,0.8282593790734214,0.4748755220889261,(0.9999929803416113-1.961137789876071e-07j),(0.9999925308582172-1.771930645814489e-07j),15996.614496564944,14453.28910700095,0.2482680731253009,0.2514049517975494
3,"MSS p (6-129, 0.25w)_01.csv",0.25,0.9070329233972008,0.092967076602799,1.3634441813919065e-06,0.3173742231426993,0.6826257768573006,1.4781015069716351e-06,0.8789811179739969,0.12101888202600271,0.3977787094982256,0.1904603588658552,0.8095396411341447,0.3889410461269637,(0.9999929644377249-1.9544431511903665e-07j),(0.9999925423345037-1.7767615149255487e-07j),15942.007648029447,14492.693554384461,0.6251653550276044,0.6659924036769056
4,"MSS p (10-35, 0.5w)_01.csv",0.5,0.8936051563484723,0.1063948436515278,2.7316877867309187e-06,0.2593099547640132,0.7406900452359868,2.9808587910297074e-06,0.8802244902300739,0.11977550976992639,0.4991215277290438,0.2021983483175095,0.7978016516824905,0.4958643164915034,(0.9999929651999849-1.9547640193908155e-07j),(0.9999925495305733-1.779790654054093e-07j),15944.624906711259,14517.401645343662,1.2553688539012675,1.3592181169533817
5,"MSS p (10-35, 1w)_01.csv",1.0,0.7877200812080478,0.2122799187919521,5.540479521426936e-06,0.1343817130235069,0.865618286976493,6.07055012600263e-06,0.684741649954053,0.31525835004594693,0.4930417622096687,0.013853994469596322,0.9861460055304035,0.49103602295638404,(0.999992845357648-1.9043171585482615e-07j),(0.9999924340645433-1.731185971435248e-07j),15533.139803713377,14120.942827102906,2.515502601797076,2.7434205584400804
6,"MSS p (6-129, 2w)_01.csv",2.0,0.855214705854648,0.144785294145352,1.098022287128985e-05,0.2172441037341922,0.7827558962658078,1.1993718759925288e-05,0.9239592332357623,0.07604076676423767,0.5045871642472494,0.3021682933797099,0.69783170662029,0.5061441115566433,(0.9999929920119227-1.9660503322522277e-07j),(0.9999926108179568-1.805589183990887e-07j),16036.685136677579,14727.835170263428,5.096080347616968,5.581710334215911
7,"MSS p (10-60, 3w)_01.csv",3.0,0.8467035404070135,0.1532964595929866,1.6484737298084267e-05,0.2387321490739569,0.761267850926043,1.7930267795457714e-05,0.8297257497676541,0.17027425023234607,0.6660841888311978,0.28214484068369566,0.7178551593163042,0.6689090702239073,(0.9999929342413235-1.9417321700006855e-07j),(0.999992598542417-1.8004218745210787e-07j),15838.326679249958,14685.686445171452,7.613604635898608,8.327911934730396
8,"MSS p (6-129, 4w)_01.csv",4.0,0.8751507086532215,0.1248492913467785,2.188926684431296e-05,0.2737441970889109,0.726255802911089,2.377844892437205e-05,0.9619194257824258,0.038080574217574034,0.7530968220786782,0.381089606394332,0.6189103936056679,0.7540553991761775,(0.9999930152837258-1.9758464481069704e-07j),(0.9999926592013062-1.8259558437423957e-07j),16116.590123313888,14893.96200046855,10.114890986513254,11.051483256951647
9,"MSS p (6-129, 5w)_01.csv",5.0,0.5004426063914477,0.4995573936085523,2.8773395010037324e-05,0.0689877077450007,0.9310122922549992,3.0608891588126715e-05,-0.6910061060209302,1.6910061060209296,0.7607467536130894,-0.6438199334982017,1.6438199334982013,0.7768477618966048,(0.9999920019443559-1.5492877580027744e-07j),(0.999992030872221-1.5614647566364441e-07j),12637.23494440638,12736.560322701354,12.633564818471093,13.776830274043476
10,"MSS p (6-129, 6w)_01.csv",6.0,0.642594080067935,0.357405919932065,3.384020239456094e-05,0.095845810583318,0.904154189416682,3.656494986349851e-05,1.4498441278684109,-0.4498441278684112,0.8502725449024504,0.2338727942077345,0.7661272057922662,0.8371101752468827,(0.9999933144099115-2.101761692191927e-07j),(0.9999925689488492-1.7879646521494406e-07j),17143.655956865143,14584.07533706585,15.15922993230736,16.50072732428562
11,"MSS p (6-129, 7w)_01.csv",7.0,0.6639398269669029,0.336060173033097,3.933971492665159e-05,0.1097547083402296,0.8902452916597703,4.254379448412826e-05,0.795286812924138,0.20471318707586197,0.8602045657335234,0.19481765635248807,0.8051823436475107,0.8594661173708831,(0.9999929131282546-1.932844759463488e-07j),(0.9999925450057792-1.7778859715768183e-07j),15765.83382282234,14501.865525707084,17.65961126212243,19.201587503532608
