,file_name,omega,amorphous_percentage,crystalline_percentage,effective_depth,amorphous_percentage_intensity,crystalline_percentage_intensity,effective_depth_intensity,corrected_amorphous_percentage,corrected_crystalline_percentage,weight,corrected_amorphous_percentage_intensity,corrected_crystalline_percentage_intensity,weight_intensity,index_of_refraction,index_of_refraction_intensity,attenuation_coefficient,attenuation_coefficient_intensity,corrected_depth,corrected_depth_intensity
0,"MSS p (full, 0.01w).csv",0.01,0.9914577888345708,0.008542211165429,5.39388816474102e-08,0.7785568459766729,0.2214431540233272,5.5475546720364696e-08,0.9914577888345708,0.008542211165429,1.0,0.7785568459766729,0.2214431540233272,1.0,(0.9999930333924582-1.983469202555925e-07j),(0.999992902871813-1.9285273763453198e-07j),16178.767429238736,15730.617779496963,0.024839805040523,0.025547466235493366
1,"MSS p (full, 0.025w).csv",0.025,1.0408774537044263,-0.0408774537044264,1.339856945916356e-07,0.801735597767184,0.1982644022328161,1.3826003188449438e-07,1.07417848539356,-0.07417848539356009,0.40257194480206454,0.8172681450231689,0.1827318549768311,0.40124066199196484,(0.9999930841050505-2.0048163420911304e-07j),(0.9999929266040879-1.9385173248915736e-07j),16352.891839829304,15812.103821201883,0.062012593552108176,0.06382537972229742
2,"MSS p (full, 0.05w).csv",0.05,1.109126006829919,-0.1091260068299188,2.656277638502479e-07,0.6308975645379998,0.3691024354620002,2.8296882267365395e-07,1.178589589762736,-0.1785895897627357,0.5044114841367723,0.4676727058922959,0.5323272941077041,0.4886051776946069,(0.9999931481151232-2.0317609703003992e-07j),(0.9999927122817758-1.848299726026505e-07j),16572.673862511238,15076.216645247034,0.12345087478037747,0.12736486239793243
3,"MSS p (full, 0.1w).csv",0.1,0.8688949967545376,0.1311050032454622,5.48129152317017e-07,0.5827982174834819,0.417201782516518,5.696779789226412e-07,0.6430128290238253,0.35698717097617444,0.48460798468281235,0.5353263620832012,0.4646736379167986,0.4967171509925599,(0.9999928197754566-1.893548499674579e-07j),(0.9999927537573969-1.8657586220325862e-07j),15445.301975317752,15218.625419575199,0.2448374556890512,0.2601148384753376
4,"MSS p (full, 0.25w).csv",0.25,1.1600645839199,-0.1600645839199,1.3195215657426508e-06,0.2773295470622186,0.7226704529377813,1.4865913590395776e-06,1.3669612764666847,-0.3669612764666849,0.4153999195977672,0.08754196345472601,0.9124580365452738,0.3832108773258883,(0.999993263597909-2.080372706514243e-07j),(0.9999924792395487-1.7502020994591418e-07j),16969.19021553644,14276.053636137274,0.6259324247999164,0.6621588001390591
5,"MSS p (full, 0.5w).csv",0.5,1.2116501415000651,-0.2116501415000651,2.621799184398112e-06,0.1786142756808215,0.8213857243191784,3.0158562027527636e-06,1.2639187628238076,-0.26391876282380733,0.5032885712967273,0.08265361193829278,0.9173463880617071,0.49292514599425236,(0.9999932004268629-2.0537812607419737e-07j),(0.9999924762427054-1.7489405974861257e-07j),16752.289032396126,14265.763813130872,1.217988739091368,1.3659043884527036
6,"MSS p (full, 1w).csv",1.0,1.6220392764307918,-0.6220392764307918,4.984658286525467e-06,0.1637652564194365,0.8362347435805635,6.044541599938738e-06,2.0774019759157114,-1.0774019759157116,0.525973704453395,0.148979136049902,0.8510208639500979,0.4989387785474633,(0.9999936991393272-2.263711065274459e-07j),(0.9999925169041045-1.766056751929367e-07j),18464.645079880993,14405.376912070491,2.4160378470227517,2.774229291525972
7,"MSS p (full, 2w).csv",2.0,1.2666749718051935,-0.2666749718051934,1.0412730541433334e-05,0.2046681031894625,0.7953318968105375,1.2015581142877338e-05,0.9403400332483717,0.05965996675162859,0.47870808398344644,0.24607445414048384,0.7539255458595162,0.5030586143161169,(0.999993002054305-1.9702776083525703e-07j),(0.9999925764291748-1.791113447408432e-07j),16071.166194814752,14609.759439502059,4.6108168057334264,5.565352940110305
8,"MSS p (full, 3w).csv",3.0,-4.741568694968692,5.741568694968692,6.365463155388332e-05,0.1626967755624279,0.8373032244375721,1.8129084856637276e-05,-5.91662482819655,6.91662482819655,0.16358166385142,0.08020563522961832,0.9197943647703818,0.6627792432930386,(0.9999887983365232-2.007496452885905e-08j),(0.9999924747419536-1.748308865615472e-07j),1637.475297544834,14260.610900748987,7.053337757087452,8.320150512419026
9,"MSS p (full, 4w).csv",4.0,1.2330338634735154,-0.2330338634735154,2.0901095021357575e-05,0.2664276015373544,0.7335723984626455,2.3803442206362157e-05,-7.662396909819282,8.662396909819282,3.0455165860371656,0.5978386901322054,0.4021613098677946,0.7616161015481935,(0.9999877280768263+2.497692910031245e-08j),(0.9999927920810854-1.8818907321941707e-07j),-2037.3188879858421,15350.21186322192,9.549249692177321,11.065727528891193
